Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment
"SW13"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"44.7mm"	"92.1mm"	"44.7mm"	"92.1mm"	"50.475mm"	"91mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW14"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"73.811mm"	"92.08mm"	"73.811mm"	"92.08mm"	"79.586mm"	"90.98mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW15"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"100.411mm"	"80.723mm"	"100.411mm"	"80.723mm"	"106.185mm"	"79.623mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW25"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"117.911mm"	"27.627mm"	"117.911mm"	"27.627mm"	"123.686mm"	"26.527mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW16"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"129.59mm"	"91.75mm"	"129.59mm"	"91.75mm"	"135.365mm"	"90.65mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW17"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"153.79mm"	"107.65mm"	"153.79mm"	"107.65mm"	"159.565mm"	"106.55mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW18"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"182.19mm"	"107.65mm"	"182.19mm"	"107.65mm"	"187.965mm"	"106.55mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW19"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"210.09mm"	"100.45mm"	"210.09mm"	"100.45mm"	"215.865mm"	"99.35mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW20"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"129.74mm"	"61.1mm"	"129.74mm"	"61.1mm"	"135.515mm"	"60mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"SW21"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"153.79mm"	"76.85mm"	"153.79mm"	"76.85mm"	"159.565mm"	"75.75mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
